Voltage (V),TMR_Ratio,TMR_Error,I_apar (A),I_apar_error (A),I_par (A),I_par_error (A)
-0.256281407035176,2.349593199579441,0.0055016360406088,-4.7866294038816206e-08,7.417179228578351e-11,-1.1246631896267249e-07,1.9742905468937927e-10
-0.2462311557788945,2.328489239663501,0.0055272382454151,-4.507720036657188e-08,7.182616475311222e-11,-1.0496177600771825e-07,1.8467689538440236e-10
-0.2361809045226131,2.297779187353556,0.0054368531287041,-4.1050991961624165e-08,6.493441391946646e-11,-9.432611494963812e-08,1.6598452740753507e-10
-0.2261306532663316,2.277525014985879,0.0054123244270227,-3.8479515018440826e-08,6.129281724518835e-11,-8.76380580190238e-08,1.5455326877410454e-10
-0.2160804020100502,2.249645544295342,0.0054244889539111,-3.475754170707733e-08,5.727530573413823e-11,-7.819214883198604e-08,1.3764428254440215e-10
-0.2060301507537689,2.231989664745881,0.0054090558432587,-3.239497286093767e-08,5.4149699294584286e-11,-7.23052446153362e-08,1.2687280365340588e-10
-0.1959798994974875,2.206616132489432,0.005413849920784,-2.9006363308698506e-08,5.004231574652532e-11,-6.400590922182366e-08,1.1165498726029991e-10
-0.185929648241206,2.189826053910621,0.005447913887119,-2.687925137069511e-08,4.7996311199216556e-11,-5.8860884961160925e-08,1.0196419090659682e-10
-0.1758793969849246,2.1656042061690384,0.0054009970107981,-2.3847073117620893e-08,4.3235282317206925e-11,-5.16433218483404e-08,8.844345637901019e-11
-0.1658291457286431,2.149362251459651,0.0053027988733603,-2.195079813984992e-08,3.9222784823720153e-11,-4.718021691120414e-08,8.026179382686783e-11
-0.1557788944723619,2.121665370661564,0.0053959875199096,-1.9319564706863494e-08,3.670951707263083e-11,-4.0989651414807595e-08,6.929322424416575e-11
-0.1457286432160804,2.101383236483618,0.0054364870053448,-1.767992612449803e-08,3.4830507104260875e-11,-3.7152300380288945e-08,6.230018690748161e-11
-0.135678391959799,2.067619443659749,0.0053600523483397,-1.542109542333128e-08,3.1025376782740646e-11,-3.188495673981213e-08,5.2127466481484085e-11
