Voltage (V),TMR_Ratio,TMR_Error,I_apar (A),I_apar_error (A),I_par (A),I_par_error (A)
-0.20603015075376885,1.0813650721317276,0.09099660271048572,-4.8278354057054486e-11,3.940664029567267e-12,-5.220652581730781e-11,1.0682986105545532e-12
-0.1959798994974874,1.0531169413136712,0.08543726347946579,-4.8126887279878246e-11,3.791353134514625e-12,-5.0683240327133204e-11,9.824376696076228e-13
-0.18592964824120606,1.0546321043440618,0.07206540993606206,-4.726313875762664e-11,3.0861352876217645e-12,-4.9845223485861176e-11,1.0038804750994972e-12
-0.1758793969849246,1.057402427087199,0.07246352340372703,-4.684500622484146e-11,3.0500641383422577e-12,-4.95340232790623e-11,1.0589790096776533e-12
-0.16582914572864316,1.030152690041314,0.08234548156464244,-4.7291768577848626e-11,3.626264006064549e-12,-4.871774261728205e-11,1.1002447564436587e-12
-0.15577889447236182,0.9891935856521415,0.08560201313571182,-4.8313318516083104e-11,4.050564260010995e-12,-4.779122477767825e-11,1.0245848889313996e-12
-0.14572864321608037,0.9853907505277637,0.08491962060333626,-4.815195620951345e-11,4.0229584030873534e-12,-4.7448492268672473e-11,1.0027588648151368e-12
-0.13567839195979903,1.0035239059365846,0.08964155263822972,-4.69458724499043e-11,4.073484904730627e-12,-4.711130528852866e-11,9.996823499180467e-13
-0.12562814070351758,1.0151595697813902,0.09498605547207954,-4.627226534707513e-11,4.2005664569568245e-12,-4.6973732982547126e-11,1.0649746852092155e-12
-0.11557788944723613,1.016219296756604,0.09161979136592563,-4.608889841062731e-11,4.01848443793207e-12,-4.683642793113425e-11,1.0744890625422725e-12
-0.10552763819095479,1.0063513501114565,0.09308596808944485,-4.6074072421244177e-11,4.139826552760374e-12,-4.6366704986252105e-11,1.018663340018288e-12
-0.09547738693467334,0.9947024096259033,0.09175115327843626,-4.6506148985480224e-11,4.180719464178725e-12,-4.6259778458278433e-11,9.557765414277244e-13
-0.085427135678392,1.0008909606266738,0.08890080270764321,-4.6271586964988615e-11,3.996123299002674e-12,-4.6312813127108135e-11,9.612912587318712e-13
-0.07537688442211055,1.0198900602318735,0.08302118083823239,-4.54655159474145e-11,3.555731287061601e-12,-4.636982779808178e-11,1.0471081696087818e-12
-0.0653266331658291,1.024071323387662,0.08145410159317006,-4.513064375773318e-11,3.4180908860292524e-12,-4.621699807831894e-11,1.1229216035942088e-12
-0.055276381909547756,1.0105654576246033,0.08698927772348779,-4.5575455105816355e-11,3.768818757494511e-12,-4.605698064545886e-11,1.1009715818098256e-12
-0.045226130653266305,0.9910083220527767,0.09750688946792006,-4.621156303018278e-11,4.439704440430447e-12,-4.579604353797756e-11,9.723412983802628e-13
-0.035175879396984966,0.9952261221607498,0.08425039496946884,-4.6105246828654434e-11,3.774373040938769e-12,-4.588514601254596e-11,9.89064503991612e-13
-0.025125628140703515,1.0023714689028091,0.08606562019395643,-4.5988455332344e-11,3.804663656085161e-12,-4.609751552405288e-11,1.059130855602096e-12
-0.015075376884422065,1.0048597670468467,0.10945569584340306,-4.650301032161084e-11,4.886606851056195e-12,-4.672900411875097e-11,1.3404157958819985e-12
-0.005025125628140725,0.992811444499009,0.19123324747667367,-4.659803603508664e-11,8.689470861628913e-12,-4.6263063466811244e-11,2.2321194827649024e-12
0.005025125628140614,0.9832422994159588,0.19662405065290517,-4.4856425081718716e-11,8.685837319806916e-12,-4.41047345409288e-11,2.2030345810882516e-12
0.015075376884422065,0.9996644367556938,0.11254387520760971,-4.4602451697027446e-11,4.8629831067416994e-12,-4.4587484753631984e-11,1.250991928368835e-12
0.025125628140703515,1.0126744988986527,0.08894913125446074,-4.481005219971402e-11,3.785053943357415e-12,-4.537799715696786e-11,1.0929877865179994e-12
0.035175879396984966,1.0024715779168087,0.08512964528275048,-4.517568413396174e-11,3.680074090679102e-12,-4.5287339357243966e-11,1.0863367473934498e-12
0.045226130653266416,0.9746488311022926,0.08402717818764852,-4.629612670346765e-11,3.8478397129828365e-12,-4.512246577609838e-11,1.033653815887755e-12
0.055276381909547645,0.9867213134105979,0.07921848460344334,-4.5936356470030276e-11,3.54769146346229e-12,-4.532638198940569e-11,9.94134502072676e-13
0.0653266331658291,0.99761748506795,0.07801314889898284,-4.5596676568827715e-11,3.4245927019315843e-12,-4.548804180605063e-11,9.905700300016004e-13
0.07537688442211055,1.0121409827357044,0.07770762554837894,-4.485328289814108e-11,3.2897455591988083e-12,-4.539784583144708e-11,1.0302892014288315e-12
0.085427135678392,0.9961148459977563,0.084315640188518,-4.515836217932402e-11,3.681123724358063e-12,-4.498291498776825e-11,1.0256221654535813e-12
0.09547738693467345,0.9914098327889799,0.08866525369387027,-4.5254184049829635e-11,3.916439272683948e-12,-4.486544304184332e-11,1.0118484821555333e-12
0.1055276381909549,0.986882335029891,0.0867405120571401,-4.514919282555047e-11,3.8458089975152035e-12,-4.455694084039405e-11,9.655877452583203e-13
0.11557788944723613,0.993108954221991,0.08021839464310904,-4.47277858945514e-11,3.4748564177957366e-12,-4.441956467440306e-11,9.82290090019515e-13
