Voltage (V),TMR_Ratio,TMR_Error,I_apar (A),I_apar_error (A),I_par (A),I_par_error (A),temperature,scan_type
-0.3768844221105527,2.0563125221785428,0.0048847763837554,-3.744703673503488e-07,8.38486172819797e-10,-7.700281055673212e-07,6.108661586995687e-10,100,b_scan
-0.3668341708542714,2.07602363813868,0.0050508394070211,-3.532560573318019e-07,8.10994601979125e-10,-7.333679253364934e-07,5.90638642781834e-10,100,b_scan
-0.3567839195979899,2.089342999701406,0.0051674786739595,-3.395323830963865e-07,7.930292409987703e-10,-7.093996077943711e-07,5.770716172601237e-10,100,b_scan
-0.3467336683417085,2.109895793677562,0.0053640453590508,-3.193953550534364e-07,7.680432758302436e-10,-6.73890916147397e-07,5.560913587965508e-10,100,b_scan
-0.3366834170854271,2.130886643147824,0.0055863263160842,-2.9994439977673535e-07,7.450673419499826e-10,-6.391475151712364e-07,5.356747200013467e-10,100,b_scan
-0.3266331658291457,2.1453141265057765,0.0057499323863119,-2.872992517739435e-07,7.305326619409552e-10,-6.163471433651807e-07,5.222624675132435e-10,100,b_scan
-0.3165829145728643,2.167360794498506,0.0059748190350744,-2.688421179565032e-07,7.04014532722862e-10,-5.826778663688678e-07,5.019125362415181e-10,100,b_scan
-0.3065326633165829,2.1822527706762176,0.006136198484993,-2.56949510989908e-07,6.86966045335633e-10,-5.607287822816257e-07,4.884260732134246e-10,100,b_scan
-0.2964824120603014,2.205298964674616,0.0064437337190379,-2.395511080675187e-07,6.670485006383594e-10,-5.28281810607956e-07,4.67706340922778e-10,100,b_scan
-0.2864321608040201,2.2211434024088814,0.0066824742074361,-2.283011713734039e-07,6.557382349016315e-10,-5.070896405582554e-07,4.5403423082838334e-10,100,b_scan
-0.2763819095477386,2.245610798144857,0.0070368138779278,-2.119004036868026e-07,6.352562026959209e-10,-4.758458346503383e-07,4.34026549277452e-10,100,b_scan
-0.2663316582914573,2.262128237066841,0.0072757534039184,-2.013260543792937e-07,6.203177136155482e-10,-4.554253524686546e-07,4.201878335312607e-10,100,b_scan
-0.2562814070351759,2.287249747083759,0.0076554935422124,-1.859907381790041e-07,5.975420860645736e-10,-4.254072688598489e-07,3.992567916969924e-10,100,b_scan
-0.2462311557788944,2.304325824462517,0.0079482323809979,-1.761184615632371e-07,5.839455073355952e-10,-4.058343191447763e-07,3.858549421160017e-10,100,b_scan
-0.2361809045226131,2.3306269872928858,0.0084343732526553,-1.617973414922483e-07,5.641454358599296e-10,-3.770892505540769e-07,3.6546208363197746e-10,100,b_scan
-0.2261306532663316,2.348560123049753,0.0087980155617368,-1.5257762298457517e-07,5.515586800343995e-10,-3.583377210112927e-07,3.5214308036640943e-10,100,b_scan
